h3_id,events,fatalities,latitude,longitude
834526fffffffff,54,65,14.689041920639,-87.603606689068
837a6afffffffff,27,11,-0.493658695269972,35.9878232527749
8349b1fffffffff,8,5,17.9699805244469,-100.088968982
834991fffffffff,17,14,20.7423178059354,-98.6654279177458
834996fffffffff,139,112,19.3524471733666,-96.7373375322754
836b0efffffffff,34,24,13.1206342015858,24.2222148882069
836ac8fffffffff,6,0,-0.322382758412096,32.5619974469873
831ef4fffffffff,7,0,44.1659974636122,19.1040429283738
833ce3fffffffff,18,11,25.2747287679249,91.6941421377184
833ccbfffffffff,106,80,22.4701407234148,96.4537277040584
838adafffffffff,68,47,3.29256558669361,-60.4945235556565
836622fffffffff,105,124,11.0251684278692,-74.6403956253228
832082fffffffff,25,10,36.6831451156411,70.9408177681794
836d23fffffffff,62,55,16.5879906016793,-93.0713814807391
836b95fffffffff,20,33,6.88386598608399,16.7280557820423
832d73fffffffff,7,0,45.3938772540837,39.0739507769178
8366f1fffffffff,203,167,3.21923853293102,-76.3527628943918
834832fffffffff,4,10,22.5085416788077,-105.022318059858
83580afffffffff,20,9,12.3419061410865,8.73263723072761
835858fffffffff,76,53,11.4440848941035,14.9461272682175
8358d4fffffffff,90,155,6.99089592094182,8.1365222915548
836b9afffffffff,55,26,4.14641804609272,18.160123273044
835854fffffffff,5,3,13.3090394443165,11.4558068447135
836a44fffffffff,22,26,8.01018227964826,33.4391538244466
83426cfffffffff,148,120,33.273177507387,70.7625675152566
8352c6fffffffff,70,11,12.3959404084287,44.8433226232859
839790fffffffff,94,114,-11.5364386130731,39.841722274946
834275fffffffff,179,55,30.574294706325,67.1977457675771
83529cfffffffff,17,48,11.2689362604154,38.2527041572849
836b91fffffffff,10,23,5.98949109161749,17.2643310395505
8382d2fffffffff,334,104,4.40639994957301,9.79097389447782
8358d3fffffffff,252,38,5.2778013052971,9.32570722719346
8358acfffffffff,49,95,10.4524111151051,4.63506400127856
838065fffffffff,12,13,-3.71466859000924,-51.1603978990892
8397a6fffffffff,2,3,-16.5636851825575,39.2042339405939
833cd1fffffffff,35,16,21.2542167652908,91.6538177114225
83201bfffffffff,7,2,42.8708010095189,75.5003537697562
83a235fffffffff,12,8,-18.3567567198064,47.3578831833078
835889fffffffff,57,39,6.99331750466157,7.09821476238508
